"pid","week","group","subgroup","gender","intervention","last_intervention","bilateral_communication_count","quiz_count","booklet_count","arena_count","chat_count","forum_count","playground_count","bilateral_communication_active_days","quiz_active_days","booklet_active_days","arena_active_days","chat_active_days","forum_active_days","playground_active_days","active_days","event_count","bilat_count_bool","quiz_count_bool","booklet_count_bool","arena_count_bool","chat_count_bool","forum_count_bool","playground_count_bool","event_count_bool"
264,2,"A","m","f","None","personal/specific",0,0,1,20,0,0,3,0,0,1,2,0,0,2,3,24,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
198,3,"C","m","m","impersonal/specific","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
462,1,"C","f","f","None","None",0,0,2,17,0,0,0,0,0,1,1,0,0,0,2,19,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
36,0,"B","f","m","None","None",0,0,1,0,0,0,6,0,0,1,0,0,0,2,2,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
252,11,"B","f","f","impersonal/specific","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
409,7,"A","m","f","impersonal/specific","impersonal/specific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
462,11,"C","f","f","None","personal/specific",0,0,1,19,0,0,8,0,0,1,3,0,0,3,3,28,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
365,13,"C","f","f","None","personal/unspecific",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
234,6,"B","f","m","None","personal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
185,9,"A","f","f","None","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
301,13,"A","f","m","None","impersonal/specific",0,0,1,3,0,0,6,0,0,1,1,0,0,3,4,10,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
43,14,"C","f","m","None","personal/unspecific",0,20,0,21,0,0,13,0,4,0,1,0,0,5,7,54,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
123,7,"C","f","m","None","impersonal/specific",0,3,1,0,0,0,2,0,1,1,0,0,0,1,3,6,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
169,5,"C","m","m","None","impersonal/specific",0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
17,5,"C","f","f","None","impersonal/specific",0,0,1,0,0,0,3,0,0,1,0,0,0,2,3,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
