"age","birth_country","group","subgroup","gender","prev_years"
"[20-29]","D-A-CH","A","m","f","nein"
"[20-29]","D-A-CH","A","f","f","nein"
"[20-29]","other","B","f","f","ja"
"[20-29]","D-A-CH","A","f","m","nein"
"[20-29]","D-A-CH","C","f","m","ja"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","other","B","m","m","ja"
"[20-29]","other","A","m","f","nein"
"[20-29]","D-A-CH","A","f","f","nein"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","D-A-CH","C","f","f","nein"
"[0-19]","D-A-CH","A","m","m","nein"
"[20-29]","D-A-CH","B","f","m","ja"
"[20-29]","other","A","m","f","ja"
"[20-29]","other","B","f","f","nein"
"[30+]","other","B","f","m","ja"
"[20-29]","D-A-CH","A","f","m","ja"
"[20-29]","other","B","f","m","nein"
"[20-29]","D-A-CH","A","m","f","nein"
"[0-19]","D-A-CH","C","m","f","nein"
"[20-29]","D-A-CH","A","m","f","nein"
"[20-29]","other","C","f","m","ja"
"[20-29]","D-A-CH","C","f","m","nein"
"[20-29]","D-A-CH","A","m","m","nein"
"[20-29]","other","C","f","m","nein"
"[30+]","D-A-CH","C","f","m","nein"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","D-A-CH","C","m","f","nein"
"[20-29]","other","A","f","f","nein"
"[20-29]","D-A-CH","C","m","m","ja"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","D-A-CH","C","m","f","ja"
"[30+]","D-A-CH","B","m","m","nein"
"[20-29]","D-A-CH","C","f","f","ja"
"[20-29]","D-A-CH","C","f","m","nein"
"[20-29]","D-A-CH","C","f","m","nein"
"[30+]","other","A","m","f","ja"
"[30+]","D-A-CH","A","f","m","ja"
"[30+]","D-A-CH","B","m","m","nein"
"[20-29]","D-A-CH","C","m","f","nein"
"[20-29]","D-A-CH","A","f","f","ja"
"[30+]","D-A-CH","B","f","m","ja"
"[20-29]","D-A-CH","A","f","m","nein"
"[20-29]","D-A-CH","C","f","m","nein"
"[20-29]","D-A-CH","A","m","m","ja"
"[30+]","other","A","m","f","ja"
"[20-29]","other","C","m","f","nein"
"[20-29]","D-A-CH","A","m","m","ja"
"[20-29]","other","C","m","m","ja"
"[20-29]","D-A-CH","A","m","f","nein"
"[20-29]","other","B","f","f","nein"
"[30+]","other","A","m","m","ja"
"[20-29]","D-A-CH","A","m","m","nein"
"[20-29]","D-A-CH","C","f","m","ja"
"[20-29]","D-A-CH","C","m","m","nein"
"[20-29]","D-A-CH","C","m","f","nein"
"[20-29]","D-A-CH","B","f","m","ja"
"[20-29]","D-A-CH","B","f","m","ja"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","other","B","f","f","nein"
"[20-29]","D-A-CH","C","m","m","ja"
"[20-29]","D-A-CH","A","m","f","nein"
"[20-29]","D-A-CH","C","m","m","ja"
"[20-29]","other","A","f","m","nein"
"[20-29]","other","A","f","f","ja"
"[30+]","other","C","f","m","ja"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","other","C","m","m","ja"
"[30+]","D-A-CH","C","f","m","nein"
"[0-19]","D-A-CH","B","f","m","nein"
"[20-29]","other","A","f","m","ja"
"[20-29]","D-A-CH","C","f","m","nein"
"[20-29]","other","C","m","f","nein"
"[0-19]","D-A-CH","B","f","m","nein"
"[20-29]","D-A-CH","B","f","f","ja"
"[20-29]","D-A-CH","A","f","m","nein"
"[20-29]","D-A-CH","A","m","m","ja"
"[20-29]","D-A-CH","B","f","m","nein"
"[0-19]","D-A-CH","A","m","m","nein"
"[30+]","other","C","m","f","ja"
"[20-29]","D-A-CH","C","f","m","nein"
"[20-29]","D-A-CH","C","f","m","nein"
"[20-29]","other","A","m","m","ja"
"[20-29]","D-A-CH","C","m","m","ja"
"[20-29]","D-A-CH","A","m","f","nein"
"[20-29]","other","C","f","f","ja"
"[30+]","D-A-CH","C","m","m","nein"
"[20-29]","D-A-CH","C","f","m","nein"
"[30+]","D-A-CH","B","m","f","nein"
"[20-29]","D-A-CH","B","f","m","ja"
"[20-29]","other","A","f","m","ja"
"[20-29]","other","B","m","f","ja"
"[20-29]","D-A-CH","A","f","m","nein"
"[30+]","D-A-CH","B","m","m","ja"
"[20-29]","D-A-CH","B","f","m","nein"
"[20-29]","D-A-CH","A","f","f","ja"
"[20-29]","D-A-CH","C","f","m","nein"
"[30+]","D-A-CH","A","m","f","nein"
"[20-29]","other","A","f","m","ja"
"[20-29]","other","A","m","m","nein"
"[20-29]","D-A-CH","C","f","f","nein"
"[20-29]","D-A-CH","A","f","f","nein"
"[20-29]","other","B","m","m","nein"
"[30+]","D-A-CH","B","f","f","nein"
"[20-29]","D-A-CH","B","m","m","nein"
"[20-29]","D-A-CH","A","f","m","ja"
"[0-19]","D-A-CH","C","m","m","nein"
"[20-29]","D-A-CH","A","f","m","nein"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","other","A","f","f","ja"
"[20-29]","D-A-CH","C","f","m","nein"
"[20-29]","D-A-CH","A","f","m","nein"
"[20-29]","other","C","f","f","nein"
"[20-29]","other","A","f","m","ja"
"[20-29]","D-A-CH","A","f","f","nein"
"[0-19]","D-A-CH","B","m","m","nein"
"[20-29]","D-A-CH","A","m","m","nein"
"[20-29]","D-A-CH","C","f","m","ja"
"[20-29]","D-A-CH","C","f","m","ja"
"[0-19]","D-A-CH","A","m","m","nein"
"[20-29]","other","A","f","f","ja"
"[20-29]","D-A-CH","C","m","m","ja"
"[20-29]","D-A-CH","A","f","m","nein"
"[20-29]","D-A-CH","A","f","m","nein"
"[30+]","other","A","f","m","ja"
"[20-29]","D-A-CH","B","f","m","nein"
"[30+]","D-A-CH","B","m","f","nein"
"[20-29]","D-A-CH","C","m","m","nein"
"[20-29]","D-A-CH","A","m","m","ja"
"[30+]","D-A-CH","C","f","f","nein"
"[20-29]","D-A-CH","A","f","f","nein"
"[20-29]","other","B","f","m","ja"
"[20-29]","D-A-CH","A","m","m","nein"
"[20-29]","D-A-CH","B","f","m","nein"
"[20-29]","D-A-CH","B","f","m","ja"
"[30+]","D-A-CH","B","m","m","nein"
"[30+]","D-A-CH","B","f","f","nein"
"[30+]","D-A-CH","A","f","m","ja"
"[20-29]","D-A-CH","C","m","m","ja"
"[20-29]","other","A","f","m","nein"
"[20-29]","D-A-CH","C","f","m","ja"
"[0-19]","D-A-CH","A","f","f","nein"
"[20-29]","D-A-CH","A","f","f","nein"
"[20-29]","D-A-CH","B","m","f","ja"
"[20-29]","other","A","f","f","nein"
"[20-29]","D-A-CH","C","m","m","nein"
"[20-29]","other","A","m","m","ja"
"[20-29]","D-A-CH","B","f","m","ja"
"[20-29]","D-A-CH","B","m","f","ja"
"[20-29]","D-A-CH","C","f","m","ja"
"[20-29]","D-A-CH","C","m","f","ja"
"[0-19]","D-A-CH","B","m","m","ja"
"[20-29]","D-A-CH","A","m","m","nein"
"[20-29]","D-A-CH","A","m","f","nein"
"[20-29]","D-A-CH","C","m","m","ja"
"[20-29]","D-A-CH","A","f","m","nein"
"[20-29]","D-A-CH","A","f","m","ja"
"[20-29]","D-A-CH","A","f","f","nein"
"[20-29]","D-A-CH","B","f","m","nein"
"[20-29]","D-A-CH","B","m","f","nein"
"[20-29]","D-A-CH","B","m","m","ja"
"[0-19]","D-A-CH","C","f","m","nein"
"[0-19]","D-A-CH","B","f","m","nein"
"[20-29]","other","C","f","f","ja"
"[20-29]","D-A-CH","A","m","m","ja"
"[20-29]","other","C","m","m","nein"
"[30+]","D-A-CH","C","m","m","nein"
"[20-29]","D-A-CH","C","m","m","nein"
"[20-29]","D-A-CH","B","f","m","ja"
"[30+]","D-A-CH","C","f","m","ja"
"[20-29]","other","C","m","f","nein"
"[20-29]","D-A-CH","B","f","f","ja"
"[20-29]","D-A-CH","C","f","f","nein"
"[20-29]","D-A-CH","C","m","m","nein"
"[20-29]","D-A-CH","C","m","m","nein"
"[20-29]","other","C","f","m","nein"
"[20-29]","D-A-CH","A","m","m","ja"
"[0-19]","D-A-CH","C","f","m","nein"
"[20-29]","D-A-CH","C","m","m","nein"
"[30+]","D-A-CH","B","m","f","nein"
"[20-29]","D-A-CH","A","m","m","ja"
"[30+]","other","A","m","f","nein"
"[20-29]","D-A-CH","B","f","f","nein"
"[20-29]","other","A","m","m","ja"
"[20-29]","D-A-CH","C","f","m","ja"
"[20-29]","other","A","m","f","ja"
"[20-29]","D-A-CH","C","m","m","ja"
"[20-29]","D-A-CH","B","f","f","ja"
"[20-29]","other","B","m","f","nein"
"[20-29]","other","A","f","m","ja"
"[20-29]","other","C","f","m","ja"
"[20-29]","D-A-CH","B","f","m","nein"
"[0-19]","D-A-CH","C","f","f","nein"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","D-A-CH","A","m","f","ja"
"[20-29]","other","C","f","m","ja"
"[20-29]","D-A-CH","C","m","m","ja"
"[20-29]","other","C","f","f","nein"
"[20-29]","D-A-CH","A","m","m","nein"
"[20-29]","other","A","f","f","ja"
"[30+]","other","C","m","m","ja"
"[20-29]","D-A-CH","B","f","f","ja"
"[30+]","D-A-CH","B","f","m","nein"
"[20-29]","D-A-CH","C","m","m","ja"
"[20-29]","D-A-CH","A","f","m","nein"
"[20-29]","D-A-CH","A","f","f","nein"
"[20-29]","D-A-CH","B","m","f","nein"
"[0-19]","D-A-CH","B","m","m","nein"
"[30+]","other","A","m","m","ja"
"[20-29]","other","B","f","m","ja"
"[20-29]","D-A-CH","B","f","m","ja"
"[20-29]","D-A-CH","A","m","m","nein"
"[30+]","other","A","m","m","ja"
"[20-29]","D-A-CH","A","m","m","nein"
"[30+]","D-A-CH","A","m","m","ja"
"[20-29]","other","C","f","f","nein"
"[20-29]","D-A-CH","B","m","f","ja"
"[0-19]","D-A-CH","C","m","m","nein"
"[20-29]","D-A-CH","B","f","m","nein"
"[20-29]","D-A-CH","C","m","f","ja"
"[20-29]","other","A","f","m","nein"
"[20-29]","D-A-CH","B","m","m","nein"
"[20-29]","D-A-CH","C","m","m","ja"
"[30+]","other","B","f","f","ja"
"[20-29]","D-A-CH","C","f","m","nein"
"[30+]","other","C","m","m","ja"
"[20-29]","other","A","m","f","ja"
"[20-29]","D-A-CH","A","m","m","nein"
"[20-29]","D-A-CH","C","f","f","ja"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","D-A-CH","A","f","m","nein"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","other","B","m","m","nein"
"[20-29]","D-A-CH","A","f","m","ja"
"[20-29]","D-A-CH","C","f","m","ja"
"[20-29]","D-A-CH","C","m","m","nein"
"[20-29]","D-A-CH","B","m","f","ja"
"[20-29]","other","A","f","m","ja"
"[20-29]","D-A-CH","C","f","f","nein"
"[0-19]","D-A-CH","C","m","m","nein"
"[20-29]","D-A-CH","A","f","f","ja"
"[20-29]","other","B","m","f","ja"
"[20-29]","D-A-CH","C","f","m","ja"
"[0-19]","D-A-CH","B","f","m","nein"
"[0-19]","D-A-CH","B","m","m","nein"
"[20-29]","D-A-CH","C","f","f","ja"
"[20-29]","D-A-CH","C","m","m","ja"
"[0-19]","D-A-CH","A","f","m","nein"
"[20-29]","other","A","m","m","nein"
"[20-29]","D-A-CH","A","m","f","nein"
"[20-29]","D-A-CH","A","m","m","ja"
"[20-29]","other","C","f","m","ja"
"[0-19]","D-A-CH","A","m","m","nein"
"[20-29]","D-A-CH","B","f","f","nein"
"[30+]","D-A-CH","A","f","m","ja"
"[20-29]","other","B","f","f","nein"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","D-A-CH","B","m","m","nein"
"[20-29]","D-A-CH","B","f","m","ja"
"[0-19]","D-A-CH","B","f","m","nein"
"[30+]","D-A-CH","C","f","f","nein"
"[20-29]","other","B","m","m","ja"
"[20-29]","D-A-CH","B","m","m","nein"
"[20-29]","D-A-CH","C","m","f","nein"
"[0-19]","D-A-CH","B","f","m","nein"
"[20-29]","D-A-CH","C","f","f","ja"
"[20-29]","other","A","m","m","nein"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","D-A-CH","A","m","m","ja"
"[20-29]","D-A-CH","B","f","m","nein"
"[30+]","D-A-CH","B","m","f","ja"
"[20-29]","other","B","f","m","ja"
"[20-29]","other","B","f","f","nein"
"[20-29]","D-A-CH","B","m","m","nein"
"[0-19]","D-A-CH","C","f","m","ja"
"[20-29]","D-A-CH","C","f","m","ja"
"[20-29]","D-A-CH","B","m","m","ja"
"[20-29]","D-A-CH","A","m","f","nein"
"[20-29]","other","C","f","m","ja"
"[20-29]","D-A-CH","A","f","m","nein"
"[20-29]","D-A-CH","A","m","f","ja"
"[20-29]","D-A-CH","A","f","m","nein"
